UserID,Benutzername,Emailadresse,Registrierungsdatum,AboPreis
1,"rock_fan99","rock99@example.com","2024-01-15",10.90
2,"electro_junkie","electro@example.com","2024-02-20",10.90
3,"vinyl_collector","vinyl@example.com","2024-03-01",0.00
4,"metalhead_ch","metal@example.com","2024-04-10",10.90
5,"pop_fanatic","pop@example.com","2024-05-05",10.90
6,"indie_girl","indie@example.com","2024-06-12",0.00
7,"techno_viking","techno@example.com","2024-07-22",10.90
8,"classic_bob","bob@example.com","2024-08-30",0.00
9,"dj_scratch","dj@example.com","2024-09-14",10.90
10,"music_lover22","lover22@example.com","2024-10-01",10.90
